,FOD,OGT,FOD_contrast,OGT_contrast
Inner309,0.11600197642747019,36.509580319695026,0.019144882232789692,8.372589692926255
Inner308,0.12026233985990832,38.372589692926255,0.026084418378483423,10.016779475916728
Inner307,0.12961057373738213,42.01677947591673,-0.013445292908342454,18.125093567499675
Inner306,0.12946794058799005,43.125093567499675,0.028206271623662377,-23.50243453012002
Inner305,0.13410403250241182,42.49756546987998,-0.029121403348392305,7.846254929267381
Inner278,0.15622926215879654,36.77788015509282,-0.00882902542533004,5.47143687540521
Inner268,0.16359633510931645,35.47143687540521,0.005697417072950406,4.374345382913148
Inner265,0.16275362974677743,32.16644935062848,0.010042826550907685,-3.4583884857278626
Inner222,0.15935692995041809,30.845682277565214,0.0005341759206006214,2.0
Inner59,0.16939975650132577,27.38729379183735,0.02634193705305332,12.5
Inner246,0.16845104681972783,36.54079473354163,0.058143359128067396,24.070016263931883
Inner204,0.16312510994180354,33.42998373606812,0.014965124025107746,5.0
Inner304,0.12710785881040423,44.6241350843602,-0.006611059378024281,-9.527800191837578
Inner299,0.12613012579848348,49.61431414401139,-0.022230012871287105,25.0
Inner303,0.1195190664204592,40.08651395217381,0.0026987742809410353,5.718208934320295
Inner302,0.11480912422795038,34.79073120813668,0.008040338319380766,-0.037551868173970604
Inner286,0.10875037886611895,31.825494162851626,0.012536366686004816,9.818153483469185
Inner270,0.1063302461887144,31.318153483469185,0.0003666905244576468,2.793492543671235
Inner264,0.10542537970519006,29.155707548284056,0.005112521736393899,-0.0006938871749255782
Inner192,0.1014529159008889,27.965877624478235,0.0008435322981248106,0.4187414256490918
Inner161,0.10066505802828989,27.670419239189805,0.005234745447235956,-6.5
Inner153,0.1015085903264147,28.089160664838897,-0.006919780488614413,1.6139501754524055
Inner17,0.1076013168961819,26.70135091269468,-0.0018306564606276748,-2.5
Inner136,0.10068153640756748,28.315301088147084,-0.0011043551304043137,-1.601428018595751
Inner107,0.09971022922768716,28.39857198140425,0.012243644512254181,-2.5
Inner249,0.1065654376372828,27.96518373730331,0.00332320162956265,-1.2154619005615501
Inner108,0.1042839457929059,28.501209181676476,-0.0012255863767529768,2.5
Inner236,0.10760714742246855,27.285747281114926,0.000344168695347577,-0.8650697443708175
Inner155,0.10748614671287143,27.960671521880666,0.028460108555386082,2.386029237658832
Inner125,0.0985569395613917,27.613970762341168,0.0024281726784024654,2.061167790930959
Inner39,0.09405614350151269,26.441023551971252,-0.004426275422498183,-1.0
Inner42,0.09648431617991515,28.50219134290221,-0.01608717824393477,8.5
Inner231,0.10783031540821901,27.09560177750985,0.02011711020035417,7.092484660939093
Inner216,0.10964737123061519,27.092484660939093,0.007446216637826408,2.465078612862147
Inner179,0.11461926401298643,27.465078612862147,-0.01504959820939511,3.76615231500735
Inner100,0.11637164003511899,28.76615231500735,0.004426858134850872,-0.373536976104095
Inner14,0.11924913174731434,29.626463023895905,-0.006117149094308882,7.0
Inner262,0.1057920702296477,31.94920009195529,0.0018637520850850742,-1.0262654937138471
Inner252,0.1043311890620753,32.82695082648845,0.0030065459705780617,1.2112090399317168
Inner234,0.1021840647369818,33.78879096006828,-0.0022003484596101186,0.5
Inner259,0.10619494114716037,31.800685332774602,-0.013243934838351526,1.1421218141620813
Inner240,0.10606219873729589,31.14212181416208,-0.007280860387304605,-0.3191146673444365
Inner215,0.10779241761432728,31.0121714846343,-0.028449135886171414,9.0
Inner211,0.10051155722702268,30.693056817289865,-0.002891984836112735,-4.178392689698651
Inner156,0.10022528873803939,32.67694340466872,0.0034541886924847054,11.0
Inner197,0.09733330390192665,28.49855071497007,-0.001908276325525024,-1.1953461472899782
Inner157,0.09672717495238242,28.034873149453208,0.0030673306109949283,0.31097714852156244
Inner122,0.09676426265967646,27.810977148521562,-0.020568390997745753,10.236889913249936
Inner40,0.09120552670478316,30.236889913249936,0.009285928786839717,9.5
Inner189,0.0948188986268574,26.83952700216323,3.235070954780983e-05,1.0083272268336998
Inner119,0.09360702035796321,25.58119403550677,-0.0005204859761612918,-0.0802186219181209
Inner89,0.09288050412284861,24.91978137808188,-0.0024274535816851267,-0.3476562102102747
Inner43,0.09426180296097343,24.95237538372714,-0.0010552961149933038,0.0
